Date,Open,High,Low,Close,Volume,Adj Close,,
2/2/2011,,,,,,,,
2/3/2011,,,,,,,,
2/4/2011,,,,,,,,
2/5/2011,,,,,,,,
2/6/2011,,,,,,,,
2/7/2011,,,,,,,,
2/8/2011,,,,,,,,
2/9/2011,,,,,,,,
2/10/2011,,,,,,,,
2/11/2011,,,,,,,,
2/12/2011,,,,,,,,
2/13/2011,,,,,,,,
2/14/2011,,,,,,,,
2/15/2011,,,,,,,,
2/16/2011,,,,,,,,
2/17/2011,,,,,,,,
2/18/2011,,,,,,,,
2/19/2011,,,,,,,,
2/20/2011,,,,,,,,
2/21/2011,,,,,,,,
2/22/2011,,,,,,,,
2/23/2011,,,,,,,,
2/24/2011,,,,,,,,
2/25/2011,,,,,,,,
2/26/2011,,,,,,,,
2/27/2011,,,,,,,,
2/28/2011,,,,,,,,
3/1/2011,,,,,,,,
3/2/2011,,,,,,,,
3/3/2011,,,,,,,,
3/4/2011,,,,,,,,
3/5/2011,,,,,,,,
3/6/2011,,,,,,,,
3/7/2011,,,,,,,,
3/8/2011,,,,,,,,
3/9/2011,,,,,,,,
3/10/2011,,,,,,,,
3/11/2011,,,,,,,,
3/12/2011,,,,,,,,
3/13/2011,,,,,,,,
3/14/2011,,,,,,,,
3/15/2011,,,,,,,,
3/16/2011,,,,,,,,
3/17/2011,,,,,,,,
3/18/2011,,,,,,,,
3/19/2011,,,,,,,,
3/20/2011,,,,,,,,
3/21/2011,,,,,,,,
3/22/2011,,,,,,,,
3/23/2011,,,,,,,,
3/24/2011,,,,,,,,
3/25/2011,,,,,,,,
3/26/2011,,,,,,,,
3/27/2011,,,,,,,,
3/28/2011,,,,,,,,
3/29/2011,,,,,,,,
3/30/2011,,,,,,,,
3/31/2011,,,,,,,,
4/1/2011,,,,,,,,
4/2/2011,,,,,,,,
4/3/2011,,,,,,,,
4/4/2011,,,,,,,,
4/5/2011,,,,,,,,
4/6/2011,,,,,,,,
4/7/2011,,,,,,,,
4/8/2011,,,,,,,,
4/9/2011,,,,,,,,
4/10/2011,,,,,,,,
4/11/2011,,,,,,,,
4/12/2011,,,,,,,,
4/13/2011,,,,,,,,
4/14/2011,,,,,,,,
4/15/2011,,,,,,,,
4/16/2011,,,,,,,,
4/17/2011,,,,,,,,
4/18/2011,,,,,,,,
4/19/2011,,,,,,,,
4/20/2011,,,,,,,,
4/21/2011,,,,,,,,
4/22/2011,,,,,,,,
4/23/2011,,,,,,,,
4/24/2011,,,,,,,,
4/25/2011,,,,,,,,
4/26/2011,,,,,,,,
4/27/2011,,,,,,,,
4/28/2011,,,,,,,,
4/29/2011,,,,,,,,
4/30/2011,,,,,,,,
5/1/2011,,,,,,,,
5/2/2011,,,,,,,,
5/3/2011,,,,,,,,
5/4/2011,,,,,,,,
5/5/2011,,,,,,,,
5/6/2011,,,,,,,,
5/7/2011,,,,,,,,
